"_id","createtime","directoryname","lastmodifytime","pid","userid"
"5e79b3c9e246000046007568","24/3/2020 00:00:00","admin","24/3/2020 00:00:00","0","5e79b1c6e246000046007565"
"5e79b44ee24600004600756a","24/3/2020 00:00:00","目录3","20/4/2020 15:51:01.633","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e79b4e0e24600004600756c","1/1/1970 00:00:00","目录3.1","20/4/2020 15:51:01.905","5e79b44ee24600004600756a","5e79b1c6e246000046007565"
"5e79b552e24600004600756d","1/1/1970 00:00:00","third_e@qq.com","1/1/1970 00:00:00","0","5e79b23de246000046007566"
"5e79b62be24600004600756e","1/1/1970 00:00:00","third_e@163.com","1/1/1970 00:00:00","0","5e79b284e246000046007567"
"5e9aa15954050000d7004ed2","18/4/2020 00:00:00","目录3.2","20/4/2020 15:51:01.911","5e79b44ee24600004600756a","5e79b1c6e246000046007565"
"5e9aa4c554050000d7004ed3","18/4/2020 00:00:00","目录3.2.1","20/4/2020 15:51:01.916","5e9aa15954050000d7004ed2","5e79b1c6e246000046007565"
"5e9b0647760518216ff01d09","18/4/2020 13:53:11.6","测试查询目录和文件","20/4/2020 15:51:01.932","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e9b0654760518216ff01d0a","18/4/2020 13:53:24.867","测试查询目录和文件1","18/4/2020 13:53:24.867","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e9b0659760518216ff01d0b","18/4/2020 13:53:29.273","测试查询目录和文件2","18/4/2020 13:53:29.273","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e9b0692760518216ff01d0c","18/4/2020 13:54:26.945","测试删除目录和文件","18/4/2020 13:54:26.945","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e9b06d1760518216ff01d0f","18/4/2020 13:55:29.797","测试目录复制到","18/4/2020 13:55:29.797","5e79b3c9e246000046007568","5e79b1c6e246000046007565"
"5e9b06d3760518216ff01d10","18/4/2020 13:55:31.96","测试目录复制到1","20/4/2020 16:31:38.5","5e79b44ee24600004600756a","5e79b1c6e246000046007565"
"5e9d2956c827e733b178ae55","20/4/2020 04:47:18.974","test1",,"0","5e9d2956c827e733b178ae54"
